entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
climate.pool_house,heat_cool,2026-03-11T08:07:53.616Z,70.8,fan,71,66,
climate.pool_house,heat_cool,2026-03-11T08:10:53.588Z,71,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:13:53.598Z,71.3,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T08:16:53.606Z,71.5,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T08:19:53.650Z,70.7,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:22:53.677Z,70.9,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:25:53.605Z,71.2,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T08:31:53.600Z,70.9,fan,71,66,
climate.pool_house,heat_cool,2026-03-11T08:34:53.609Z,70.8,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:37:53.663Z,70.6,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:40:53.638Z,70.8,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:46:54.065Z,71,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:49:53.649Z,71.4,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T08:52:53.680Z,71.2,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T08:55:53.695Z,70.9,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:58:53.683Z,70.4,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T09:01:53.684Z,70.7,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T09:04:53.659Z,71.1,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T09:07:53.739Z,71.1,cooling,73,66,
climate.pool_house,heat_cool,2026-03-11T09:10:53.669Z,70.9,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T09:13:53.661Z,70.8,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T09:19:53.664Z,71,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T09:22:53.693Z,71.4,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T09:25:53.698Z,71.4,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T09:28:53.654Z,71.8,idle,70,66,
climate.pool_house,heat_cool,2026-03-11T09:31:53.689Z,71.8,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T09:34:53.722Z,71.6,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T09:37:53.738Z,71.1,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T09:40:53.679Z,70.9,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T09:43:53.716Z,70.8,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T09:46:54.045Z,71,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T09:49:53.715Z,71.3,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T09:52:53.679Z,71.1,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T09:55:53.716Z,71,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T09:58:53.735Z,71,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T10:01:53.709Z,71.1,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T10:04:53.711Z,71,fan,71,66,
climate.pool_house,heat_cool,2026-03-11T10:07:53.714Z,71.2,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T10:10:53.714Z,71.5,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T10:13:53.673Z,71.4,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T10:16:53.772Z,71.2,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T10:19:53.793Z,70.6,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T10:22:53.745Z,70.3,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T10:25:53.704Z,70.5,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T10:28:53.762Z,70.7,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T10:31:53.759Z,70.9,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T10:34:53.715Z,71.2,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T10:37:53.754Z,71,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T10:40:53.778Z,70.2,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T10:43:53.762Z,70.4,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T10:46:54.210Z,70.6,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T10:49:53.768Z,70.9,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T10:52:53.744Z,71,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T10:55:53.811Z,70.8,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T10:58:53.784Z,70.4,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T11:01:53.788Z,70.5,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T11:04:53.776Z,70.9,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T11:07:53.760Z,71.1,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T11:10:53.802Z,71.4,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T11:13:53.773Z,71.7,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T11:19:53.819Z,71.5,fan,73,66,
climate.pool_house,heat_cool,2026-03-11T11:22:53.814Z,70.6,fan,73,66,
climate.pool_house,heat_cool,2026-03-11T11:25:53.800Z,71,fan,73,66,
climate.pool_house,heat_cool,2026-03-11T11:28:53.806Z,69.7,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T11:31:53.821Z,69.6,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T11:34:53.848Z,69.9,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T11:37:53.788Z,70.3,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T11:40:53.852Z,70.4,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T11:43:53.825Z,71,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T11:46:54.216Z,71,cooling,70,66,
climate.pool_house,heat_cool,2026-03-11T11:49:53.820Z,71,cooling,70,66,
climate.pool_house,heat_cool,2026-03-11T11:52:53.817Z,70.1,cooling,70,66,
climate.pool_house,heat_cool,2026-03-11T11:55:53.859Z,69.5,idle,70,66,
climate.pool_house,heat_cool,2026-03-11T11:58:53.824Z,69.3,idle,70,66,
